date,type,amount,category
2019-11-16,income,1001.48,Freelance
2019-11-16,expense,160.46,Groceries
2019-11-17,expense,46.83,Gifts
2019-11-18,expense,92.2,Transportation
2019-11-19,income,579.53,Freelance
2019-11-19,expense,66.33,Transportation
2019-11-19,expense,100.44,Healthcare
2019-11-20,expense,114.43,Dining Out
2019-11-21,expense,93.1,Shopping
2019-11-21,expense,75.83,Shopping
2019-11-22,expense,29.42,Gifts
2019-11-23,expense,148.85,Groceries
2019-11-23,expense,123.44,Dining Out
2019-11-25,income,794.3,Side Business
2019-11-26,expense,62.82,Transportation
2019-11-27,expense,53.81,Healthcare
2019-11-28,expense,61.32,Dining Out
2019-11-29,income,629.29,Freelance
2019-11-30,income,2250.0,Salary
2019-11-30,expense,167.38,Groceries
2019-11-30,expense,227.08,Shopping
2019-12-01,expense,11.23,Personal Care
2019-12-01,expense,65.74,Subscriptions
2019-12-01,expense,196.3,Insurance
2019-12-01,expense,205.7,Utilities
2019-12-01,expense,1580.5,Housing
2019-12-02,expense,59.53,Entertainment
2019-12-03,income,444.35,Side Business
2019-12-05,income,753.08,Freelance
2019-12-05,income,1242.49,Rental Income
2019-12-05,expense,41.4,Entertainment
2019-12-06,expense,49.31,Education
2019-12-07,expense,142.12,Groceries
2019-12-08,expense,19.28,Gifts
2019-12-09,expense,61.5,Transportation
2019-12-09,expense,94.44,Transportation
2019-12-10,income,359.28,Investments
2019-12-12,expense,40.93,Entertainment
2019-12-13,expense,104.92,Shopping
2019-12-14,expense,135.7,Groceries
2019-12-14,expense,43.0,Personal Care
2019-12-14,expense,37.7,Shopping
2019-12-15,income,2250.0,Salary
2019-12-15,expense,75.57,Transportation
2019-12-16,expense,31.37,Entertainment
2019-12-17,expense,90.82,Shopping
2019-12-18,expense,89.76,Dining Out
2019-12-19,expense,177.28,Shopping
2019-12-21,expense,172.54,Groceries
2019-12-22,expense,32.25,Transportation
2019-12-22,expense,53.82,Dining Out
2019-12-23,expense,15.7,Gifts
2019-12-23,expense,74.58,Transportation
2019-12-24,income,371.63,Side Business
2019-12-24,expense,79.7,Healthcare
2019-12-25,expense,93.81,Transportation
2019-12-26,expense,50.69,Transportation
2019-12-26,expense,47.71,Shopping
2019-12-27,expense,217.65,Shopping
2019-12-27,expense,140.0,Shopping
2019-12-27,expense,119.19,Dining Out
2019-12-28,expense,136.52,Groceries
2019-12-28,expense,9.71,Gifts
2019-12-29,income,1016.35,Freelance
2019-12-29,expense,50.78,Shopping
2019-12-29,expense,172.82,Shopping
2019-12-30,income,2250.0,Salary
2019-12-31,expense,97.59,Entertainment
2020-01-01,expense,220.3,Utilities
2020-01-01,expense,64.95,Subscriptions
2020-01-01,expense,1626.05,Housing
2020-01-01,expense,196.32,Insurance
2020-01-02,expense,63.32,Dining Out
2020-01-03,expense,74.55,Dining Out
2020-01-04,expense,135.94,Groceries
2020-01-04,expense,49.24,Entertainment
2020-01-05,income,1257.94,Rental Income
2020-01-08,expense,45.47,Transportation
2020-01-09,expense,126.87,Healthcare
2020-01-10,income,351.18,Investments
2020-01-10,income,690.38,Freelance
2020-01-11,expense,103.77,Groceries
2020-01-12,expense,56.03,Transportation
2020-01-12,expense,177.13,Shopping
2020-01-13,expense,99.82,Entertainment
2020-01-14,expense,27.0,Entertainment
2020-01-15,income,2250.0,Salary
2020-01-15,income,630.73,Side Business
2020-01-15,expense,139.14,Dining Out
2020-01-16,expense,62.6,Shopping
2020-01-17,expense,42.13,Transportation
2020-01-17,income,546.29,Side Business
2020-01-18,income,1001.29,Freelance
2020-01-18,expense,113.47,Groceries
2020-01-18,expense,165.23,Shopping
2020-01-19,expense,108.91,Dining Out
2020-01-19,expense,122.49,Gifts
2020-01-19,expense,39.27,Transportation
2020-01-20,expense,130.98,Shopping
2020-01-21,expense,98.43,Healthcare
2020-01-21,expense,147.18,Dining Out
2020-01-22,expense,10.87,Personal Care
2020-01-25,expense,136.33,Groceries
2020-01-26,income,819.21,Freelance
2020-01-28,income,1041.38,Freelance
2020-01-28,expense,152.63,Shopping
2020-01-29,expense,89.55,Dining Out
2020-01-30,income,2250.0,Salary
2020-01-30,expense,139.63,Dining Out
2020-01-31,income,718.01,Freelance
2020-01-31,expense,132.59,Dining Out
2020-02-01,expense,46.31,Personal Care
2020-02-01,expense,117.82,Groceries
2020-02-01,expense,65.86,Subscriptions
2020-02-01,expense,1661.52,Housing
2020-02-01,expense,227.78,Utilities
2020-02-01,expense,195.35,Insurance
2020-02-04,expense,64.08,Education
2020-02-05,expense,87.29,Entertainment
2020-02-05,income,1291.31,Rental Income
2020-02-05,income,476.66,Side Business
2020-02-06,expense,44.64,Personal Care
2020-02-06,expense,115.63,Gifts
2020-02-08,expense,106.67,Groceries
2020-02-08,expense,48.95,Healthcare
2020-02-08,expense,239.01,Shopping
2020-02-08,expense,34.99,Personal Care
2020-02-10,income,369.49,Investments
2020-02-12,expense,153.41,Shopping
2020-02-13,income,1016.64,Freelance
2020-02-15,expense,138.33,Groceries
2020-02-15,expense,149.7,Dining Out
2020-02-15,income,2250.0,Salary
2020-02-17,income,488.9,Side Business
2020-02-17,expense,83.67,Entertainment
2020-02-17,expense,915.57,Home Improvement
2020-02-18,expense,38.86,Transportation
2020-02-18,expense,20.72,Entertainment
2020-02-19,expense,113.54,Dining Out
2020-02-20,expense,92.32,Dining Out
2020-02-22,expense,138.92,Groceries
2020-02-25,expense,232.89,Shopping
2020-02-25,expense,33.19,Entertainment
2020-02-25,income,963.2,Freelance
2020-02-26,income,1082.86,Freelance
2020-02-27,expense,16.18,Personal Care
2020-02-27,expense,22.16,Entertainment
2020-02-28,expense,38.69,Entertainment
2020-02-29,expense,113.32,Groceries
2020-02-29,expense,96.48,Dining Out
2020-03-01,expense,202.55,Insurance
2020-03-01,expense,40.42,Transportation
2020-03-01,expense,58.99,Dining Out
2020-03-01,expense,62.88,Subscriptions
2020-03-01,expense,231.31,Utilities
2020-03-01,expense,1610.46,Housing
2020-03-01,income,767.33,Side Business
2020-03-02,income,993.66,Freelance
2020-03-03,income,1059.92,Freelance
2020-03-05,income,1276.72,Rental Income
2020-03-05,expense,98.84,Transportation
2020-03-06,expense,41.25,Transportation
2020-03-07,expense,67.35,Transportation
2020-03-07,expense,130.79,Groceries
2020-03-08,expense,123.85,Dining Out
2020-03-08,expense,53.7,Dining Out
2020-03-09,expense,89.57,Entertainment
2020-03-09,expense,61.55,Dining Out
2020-03-10,income,403.37,Investments
2020-03-10,expense,24.51,Personal Care
2020-03-13,income,944.01,Freelance
2020-03-14,expense,116.22,Groceries
2020-03-14,expense,56.24,Transportation
2020-03-14,expense,29.83,Entertainment
2020-03-15,income,2403.96,Salary
2020-03-15,income,740.55,Bonus
2020-03-16,income,1047.97,Freelance
2020-03-16,expense,51.5,Personal Care
2020-03-17,income,438.27,Side Business
2020-03-20,income,435.0,Side Business
2020-03-20,expense,49.48,Shopping
2020-03-21,expense,59.18,Transportation
2020-03-21,income,970.85,Freelance
2020-03-21,expense,117.09,Groceries
2020-03-22,expense,30.1,Personal Care
2020-03-23,expense,94.03,Dining Out
2020-03-23,expense,91.75,Transportation
2020-03-26,expense,23.2,Personal Care
2020-03-28,expense,132.16,Groceries
2020-03-28,expense,39.86,Shopping
2020-03-29,expense,23.17,Personal Care
2020-03-29,expense,167.63,Healthcare
2020-03-30,income,2403.96,Salary
2020-03-30,expense,26.54,Entertainment
2020-03-31,expense,61.79,Transportation
2020-03-31,expense,65.86,Transportation
2020-04-01,expense,76.8,Dining Out
2020-04-01,expense,67.63,Subscriptions
2020-04-01,expense,1596.4,Housing
2020-04-01,expense,216.79,Utilities
2020-04-01,expense,196.68,Insurance
2020-04-02,expense,48.59,Personal Care
2020-04-03,expense,31.31,Transportation
2020-04-03,expense,90.14,Transportation
2020-04-04,expense,53.08,Education
2020-04-04,expense,118.67,Groceries
2020-04-05,expense,254.6,Shopping
2020-04-05,expense,77.34,Healthcare
2020-04-05,income,1237.51,Rental Income
2020-04-06,expense,40.18,Entertainment
2020-04-07,expense,90.96,Entertainment
2020-04-07,expense,65.4,Transportation
2020-04-08,income,619.72,Side Business
2020-04-08,expense,92.67,Transportation
2020-04-09,income,667.93,Freelance
2020-04-09,expense,85.75,Dining Out
2020-04-10,income,1060.72,Freelance
2020-04-10,income,363.43,Investments
2020-04-10,expense,95.87,Entertainment
2020-04-11,expense,93.33,Transportation
2020-04-11,expense,131.62,Groceries
2020-04-14,expense,113.96,Shopping
2020-04-15,income,2403.96,Salary
2020-04-16,expense,75.53,Transportation
2020-04-16,expense,44.68,Healthcare
2020-04-17,expense,55.73,Transportation
2020-04-18,income,914.44,Freelance
2020-04-18,expense,137.42,Groceries
2020-04-18,expense,140.37,Dining Out
2020-04-20,expense,38.26,Personal Care
2020-04-20,expense,173.25,Shopping
2020-04-20,income,902.38,Freelance
2020-04-20,expense,47.5,Transportation
2020-04-21,expense,200.55,Shopping
2020-04-22,expense,42.07,Transportation
2020-04-23,expense,154.45,Dining Out
2020-04-24,expense,185.11,Shopping
2020-04-25,income,628.68,Freelance
2020-04-25,expense,112.15,Groceries
2020-04-25,expense,54.02,Education
2020-04-25,expense,49.67,Entertainment
2020-04-26,expense,24.86,Personal Care
2020-04-28,income,757.74,Freelance
2020-04-28,expense,91.18,Dining Out
2020-04-29,income,879.19,Side Business
2020-04-29,expense,85.27,Entertainment
2020-04-30,income,2403.96,Salary
2020-04-30,income,760.05,Side Business
2020-05-01,expense,102.06,Transportation
2020-05-01,expense,195.39,Shopping
2020-05-01,expense,65.54,Subscriptions
2020-05-01,expense,209.49,Insurance
2020-05-01,expense,212.61,Utilities
2020-05-01,expense,1601.19,Housing
2020-05-02,expense,108.46,Groceries
2020-05-03,income,957.33,Freelance
2020-05-03,expense,31.62,Personal Care
2020-05-05,income,1290.49,Rental Income
2020-05-05,expense,165.74,Shopping
2020-05-05,expense,70.61,Shopping
2020-05-06,expense,4.29,Gifts
2020-05-07,expense,95.56,Healthcare
2020-05-08,expense,23.08,Entertainment
2020-05-09,expense,130.08,Groceries
2020-05-10,income,398.1,Investments
2020-05-10,income,636.22,Side Business
2020-05-11,expense,10.93,Education
2020-05-11,expense,197.06,Healthcare
2020-05-12,expense,46.17,Personal Care
2020-05-13,expense,58.1,Healthcare
2020-05-14,income,854.97,Freelance
2020-05-14,expense,104.0,Healthcare
2020-05-15,expense,18.25,Gifts
2020-05-15,expense,182.15,Shopping
2020-05-15,income,2403.96,Salary
2020-05-15,expense,64.91,Transportation
2020-05-16,expense,112.79,Groceries
2020-05-16,expense,65.32,Gifts
2020-05-17,expense,101.05,Entertainment
2020-05-18,expense,195.02,Healthcare
2020-05-18,expense,37.92,Transportation
2020-05-19,expense,35.3,Entertainment
2020-05-20,expense,35.02,Transportation
2020-05-20,income,887.28,Freelance
2020-05-21,expense,27.31,Personal Care
2020-05-22,expense,38.81,Healthcare
2020-05-23,income,667.71,Side Business
2020-05-23,expense,127.25,Groceries
2020-05-23,expense,44.62,Entertainment
2020-05-23,expense,121.41,Dining Out
2020-05-24,expense,121.17,Healthcare
2020-05-24,expense,52.38,Transportation
2020-05-26,expense,82.33,Dining Out
2020-05-27,expense,69.07,Dining Out
2020-05-27,expense,102.45,Dining Out
2020-05-29,expense,40.83,Personal Care
2020-05-29,expense,59.45,Transportation
2020-05-29,expense,78.87,Transportation
2020-05-30,income,2403.96,Salary
2020-05-30,expense,128.35,Groceries
2020-05-30,expense,80.63,Gifts
2020-05-31,income,763.15,Side Business
2020-05-31,expense,121.58,Dining Out
2020-06-01,expense,23.44,Entertainment
2020-06-01,expense,63.84,Subscriptions
2020-06-01,expense,191.72,Insurance
2020-06-01,expense,220.69,Utilities
2020-06-01,expense,1523.85,Housing
2020-06-02,income,931.82,Freelance
2020-06-03,income,825.45,Freelance
2020-06-03,expense,53.41,Dining Out
2020-06-03,expense,43.99,Personal Care
2020-06-04,expense,74.88,Transportation
2020-06-04,expense,37.03,Entertainment
2020-06-04,expense,100.75,Entertainment
2020-06-05,expense,330.92,Education
2020-06-05,income,1201.65,Rental Income
2020-06-05,expense,92.07,Dining Out
2020-06-06,expense,150.19,Groceries
2020-06-07,expense,23.74,Personal Care
2020-06-08,expense,130.34,Dining Out
2020-06-08,expense,28.46,Personal Care
2020-06-09,income,880.64,Side Business
2020-06-09,expense,70.64,Transportation
2020-06-10,income,459.01,Side Business
2020-06-10,income,345.85,Investments
2020-06-11,expense,133.74,Healthcare
2020-06-12,expense,193.55,Shopping
2020-06-12,expense,75.48,Entertainment
2020-06-13,expense,109.68,Groceries
2020-06-14,income,654.36,Side Business
2020-06-15,income,2403.96,Salary
2020-06-16,expense,58.45,Education
2020-06-16,expense,108.66,Dining Out
2020-06-18,expense,85.65,Entertainment
2020-06-20,expense,63.99,Dining Out
2020-06-20,expense,134.04,Groceries
2020-06-21,expense,130.35,Dining Out
2020-06-21,expense,134.61,Dining Out
2020-06-22,expense,98.04,Entertainment
2020-06-23,income,933.21,Freelance
2020-06-23,expense,95.81,Dining Out
2020-06-24,income,956.61,Freelance
2020-06-24,expense,35.45,Transportation
2020-06-25,income,841.88,Side Business
2020-06-26,expense,69.88,Dining Out
2020-06-26,expense,43.69,Transportation
2020-06-27,expense,135.48,Groceries
2020-06-27,expense,85.97,Dining Out
2020-06-28,expense,41.53,Entertainment
2020-06-30,income,2403.96,Salary
2020-06-30,expense,61.3,Entertainment
2020-06-30,expense,62.75,Dining Out
2020-07-01,expense,63.42,Subscriptions
2020-07-01,expense,215.58,Utilities
2020-07-01,expense,205.88,Insurance
2020-07-01,income,979.16,Freelance
2020-07-01,expense,1535.26,Housing
2020-07-02,expense,138.85,Education
2020-07-03,expense,237.51,Shopping
2020-07-03,expense,14.63,Education
2020-07-03,expense,264.9,Education
2020-07-04,expense,148.96,Groceries
2020-07-05,expense,118.45,Dining Out
2020-07-05,income,1186.47,Rental Income
2020-07-06,expense,39.4,Shopping
2020-07-07,expense,56.34,Dining Out
2020-07-08,expense,101.67,Dining Out
2020-07-10,income,412.52,Investments
2020-07-11,income,918.41,Freelance
2020-07-11,expense,108.88,Groceries
2020-07-11,expense,99.38,Transportation
2020-07-12,expense,102.22,Shopping
2020-07-12,expense,89.9,Entertainment
2020-07-14,expense,91.34,Entertainment
2020-07-14,income,892.93,Freelance
2020-07-15,income,2403.96,Salary
2020-07-17,expense,81.96,Healthcare
2020-07-17,income,628.53,Side Business
2020-07-18,expense,95.58,Entertainment
2020-07-18,expense,33.71,Personal Care
2020-07-18,expense,108.77,Groceries
2020-07-19,income,867.13,Side Business
2020-07-19,expense,55.3,Dining Out
2020-07-23,income,720.29,Freelance
2020-07-23,income,502.11,Side Business
2020-07-24,income,784.31,Freelance
2020-07-25,expense,106.94,Groceries
2020-07-25,expense,41.0,Transportation
2020-07-25,income,806.69,Freelance
2020-07-26,income,551.86,Side Business
2020-07-26,expense,35.62,Entertainment
2020-07-27,income,912.27,Freelance
2020-07-29,income,602.02,Freelance
2020-07-29,expense,72.1,Entertainment
2020-07-30,income,2403.96,Salary
2020-08-01,expense,123.34,Groceries
2020-08-01,expense,63.96,Subscriptions
2020-08-01,expense,72.0,Entertainment
2020-08-01,expense,230.91,Utilities
2020-08-01,expense,1632.81,Housing
2020-08-01,expense,195.66,Insurance
2020-08-03,expense,54.53,Dining Out
2020-08-05,income,1246.33,Rental Income
2020-08-05,expense,62.62,Transportation
2020-08-08,expense,117.67,Groceries
2020-08-08,expense,75.63,Entertainment
2020-08-09,income,424.66,Side Business
2020-08-10,income,395.4,Investments
2020-08-10,expense,33.79,Personal Care
2020-08-11,expense,83.82,Entertainment
2020-08-11,income,804.58,Side Business
2020-08-12,expense,84.49,Transportation
2020-08-12,expense,59.72,Transportation
2020-08-13,income,1089.4,Freelance
2020-08-15,income,2403.96,Salary
2020-08-15,expense,146.27,Groceries
2020-08-15,expense,52.14,Transportation
2020-08-15,expense,91.35,Entertainment
2020-08-17,expense,23.21,Entertainment
2020-08-18,income,660.17,Side Business
2020-08-18,expense,97.55,Dining Out
2020-08-18,expense,88.39,Entertainment
2020-08-19,expense,67.31,Transportation
2020-08-22,expense,143.97,Groceries
